from,to,t,l,k,flow
m10_in,m1_in,1,l1,k1,10.645703
source,m4_in,1,l2,k3,10.64359
m4_in,m4_q_l2,1,l2,k3,10.64359
m4_q_l2,ss,1,l2,k3,10.64359
source,m5_in,3,l1,k1,10.622184
m5_in,m1_in,3,l1,k1,10.622184
source,m10_in,1,l2,k2,10.597379
m10_in,m10_q_l2,1,l2,k2,10.597379
m10_q_l2,ss,1,l2,k2,10.597379
source,m2_in,4,l2,k2,10.567852
source,m8_in,4,l2,k4,10.560348
source,m3_in,1,l1,k3,10.543832
source,m3_in,3,l2,k3,10.532573
m3_in,m5_in,3,l2,k3,10.532573
source,m3_in,4,l2,k1,10.523701
source,m5_in,3,l2,k3,10.515927
source,m1_in,1,l1,k4,10.513148
m1_in,m4_in,1,l1,k4,10.513148
source,m4_in,2,l2,k5,10.477636
source,m2_in,2,l1,k4,10.45068
m2_in,m4_in,2,l1,k4,10.45068
source,m10_in,1,l2,k4,10.429888
m10_in,m10_q_l2,1,l2,k4,10.429888
m10_q_l2,ss,1,l2,k4,10.429888
source,m6_in,1,l1,k1,10.426359
m6_in,m1_in,1,l1,k1,10.426359
source,m8_in,3,l2,k3,10.399599
m8_in,m8_q_l2,3,l2,k3,10.399599
m8_q_l2,ss,3,l2,k3,10.399599
source,m6_in,4,l2,k4,10.395048
source,m7_in,4,l1,k5,10.33886
source,m1_in,2,l2,k5,10.318276
m1_in,m1_q_l2,2,l2,k5,10.318276
m1_q_l2,ss,2,l2,k5,10.318276
source,m1_in,2,l2,k4,10.315514
m1_in,m1_q_l2,2,l2,k4,10.315514
m1_q_l2,ss,2,l2,k4,10.315514
source,m3_in,4,l2,k3,10.215331
source,m4_in,1,l1,k4,10.200102
source,m2_in,1,l2,k4,10.194851
m2_in,m2_q_l2,1,l2,k4,10.194851
m2_q_l2,ss,1,l2,k4,10.194851
source,m6_in,2,l1,k2,10.187166
m6_in,m2_in,2,l1,k2,10.187166
source,m3_in,3,l1,k1,10.131282
m3_in,m1_in,3,l1,k1,10.131282
source,m2_in,2,l2,k5,10.104223
m2_in,m2_q_l2,2,l2,k5,10.104223
m2_q_l2,ss,2,l2,k5,10.104223
source,m6_in,3,l2,k3,10.022163
m6_in,m6_q_l2,3,l2,k3,10.022163
m6_q_l2,ss,3,l2,k3,10.022163
source,m7_in,3,l1,k1,10.020711
m7_in,m1_in,3,l1,k1,10.020711
source,m1_in,4,l2,k5,10.018367
source,m8_in,4,l2,k5,10.005614
source,m1_in,4,l1,k4,9.936851
source,m10_in,4,l1,k4,9.9119048
source,m7_in,1,l1,k2,9.8490944
m7_in,m2_in,1,l1,k2,9.8490944
source,m2_in,1,l2,k2,9.8303426
m2_in,m4_in,1,l2,k2,9.8303426
source,m6_in,2,l2,k1,9.8102628
m6_in,m6_q_l2,2,l2,k1,9.8102628
m6_q_l2,ss,2,l2,k1,9.8102628
source,m1_in,1,l2,k4,9.809319
m1_in,m1_q_l2,1,l2,k4,9.809319
m1_q_l2,ss,1,l2,k4,9.809319
source,m9_in,1,l1,k2,9.8088904
m9_in,m2_in,1,l1,k2,9.8088904
source,m5_in,4,l2,k4,9.72913
source,m10_in,3,l2,k2,9.7068875
m10_in,m10_q_l2,3,l2,k2,9.7068875
m10_q_l2,ss,3,l2,k2,9.7068875
source,m5_in,3,l1,k5,9.6798757
source,m10_in,2,l2,k3,9.6493485
m10_in,m10_q_l2,2,l2,k3,9.6493485
m10_q_l2,ss,2,l2,k3,9.6493485
source,m6_in,3,l2,k2,9.6365272
m6_in,m6_q_l2,3,l2,k2,9.6365272
m6_q_l2,ss,3,l2,k2,9.6365272
source,m7_in,1,l2,k1,9.6190876
m7_in,m7_q_l2,1,l2,k1,9.6190876
m7_q_l2,ss,1,l2,k1,9.6190876
source,m4_in,3,l1,k5,9.57412
m4_in,m5_in,3,l1,k5,9.57412
source,m8_in,4,l1,k5,9.5308892
source,m4_in,2,l2,k4,9.5063649
m4_in,m6_in,2,l2,k4,9.5063649
source,m7_in,2,l1,k2,9.433677
m7_in,m2_in,2,l1,k2,9.433677
source,m4_in,4,l2,k5,9.4032788
source,m1_in,2,l1,k3,9.3857224
m1_in,m3_in,2,l1,k3,9.3857224
source,m5_in,1,l1,k1,9.3821438
